antibody,length,ENC
H3K27me3_HepG2,212.065894619,ENCFF001XCW
H4K20me1_K562,18011.9828741,ENCFF001SZO
H3K4me2_HepG2,2233.51173766,ENCFF001SWN
H3K4me3_cell of skeletal muscle,1182.42209603,ENCFF001XIZ
H4K20me1_osteoblast,14685.7037677,ENCFF001TCY
H3K4me1_K562,3045.68156038,ENCFF001SZH
H3K27me3_fibroblast of lung,250.450016317,ENCFF001WUZ
H3K4me1_HepG2,3028.92767593,ENCFF001SWI
H3K27ac_DND-41,7957.90807501,ENCFF001STW
H3K4me3_HeLa-S3,552.969725178,ENCFF001XCP
H3K4me2_A549,2634.1057207,ENCFF001SSU
H3K9me3_fibroblast of lung,238.851025748,ENCFF001WUT
H3K27me3_K562,7443.06699293,ENCFF001SZF
H3K4me3_GM12865,1026.06287352,ENCFF001WXU
H3K4me3_mammary epithelial cell,703.555168443,ENCFF001XDR
H3K4me1_fibroblast of lung,3002.95933134,ENCFF001TCP
H3K36me3_DND-41,12856.6099718,ENCFF001STY
H3K4me3_fibroblast of gingiva,944.408227553,ENCFF001WVJ
H3K27me3_K562,168.666272639,ENCFF001XGL
H3K36me3_HepG2,308.241439705,ENCFF001XCY
H3K4me1_A549,3703.71546554,ENCFF001SSR
H3K27me3_osteoblast,10548.4472738,ENCFF001TCW
H3K27ac_fibroblast of dermis,4095.95339582,ENCFF001TBL
H3K79me2_CD14-positive monocyte,8135.96299995,ENCFF001TAR
H3K9ac_mammary epithelial cell,3149.47830991,ENCFF001SXD
H3K4me1_GM12878,2734.82364829,ENCFF001SUE
H3K4me3_brain microvascular endothelial cell,914.028298579,ENCFF001XBE
H3K79me2_mammary epithelial cell,10308.7569267,ENCFF001SXC
H3K27me3_cardiac mesoderm,244.849120604,ENCFF001WZP
H3K4me1_fibroblast of dermis,2545.23174987,ENCFF001TBK
H3K4me3_cardiac mesoderm,672.789316399,ENCFF001WYN
H3K4me2_skeletal muscle myoblast,2247.66470514,ENCFF001SXM
H3K4me2_GM12878,2685.22685912,ENCFF001SUL
H3K79me2_astrocyte,13544.9457297,ENCFF001TBE
H3K4me3_CD14-positive monocyte,928.139887074,ENCFF001XHF
H3K36me3_astrocyte,14927.924953,ENCFF001TBB
H3K4me3_H7-hESC,860.729315167,ENCFF001XAR
H3K4me1_HeLa-S3,2860.67971514,ENCFF001SVU
H3K4me3_cardiac fibroblast,946.413221805,ENCFF001XBL
H3K27me3_skeletal muscle myoblast,17961.7479433,ENCFF001SXJ
H3K4me3_B cell,854.004054008,ENCFF001WWX
H3K36me3_cardiac mesoderm,270.007227924,ENCFF001WZY
H3K4me3_HCT116,819.898944219,ENCFF001XBW
H3K27me3_foreskin fibroblast,231.123221493,ENCFF001WWC
H3K9me3_skeletal muscle myoblast,13497.6029108,ENCFF001SXQ
